message,severity,attributes,tags,timestamp
1:M 20 Apr 2026 05:52:31.938 * <bf> 	{ bf-error-rate       :      0.01 },info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.187800266Z
1:M 20 Apr 2026 05:52:31.938 * <bf> 	{ bf-initial-size     :       100 },info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.187805567Z
1:M 20 Apr 2026 05:52:31.938 * <bf> 	{ bf-expansion-factor :         2 },info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.187810903Z
1:M 20 Apr 2026 05:52:31.938 * <bf> 	{ cf-bucket-size      :         2 },info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.187816937Z
1:M 20 Apr 2026 05:52:31.938 * <bf> 	{ cf-initial-size     :      1024 },info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.187957137Z
1:M 20 Apr 2026 05:52:31.938 * <bf> 	{ cf-max-iterations   :        20 },info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.187962318Z
1:M 20 Apr 2026 05:52:31.942 * <search> Enabled role change notification,info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.189575215Z
1:M 20 Apr 2026 05:52:31.942 * <search> Initialized thread pools!,info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.189588732Z
"1:M 20 Apr 2026 05:52:31.942 * <search> Cluster configuration: AUTO partitions, type: 0, coordinator timeout: 0ms",info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.189590797Z
1:M 20 Apr 2026 05:52:31.942 * <search> Disabled workers threadpool of size 0,info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.189602235Z
1:M 20 Apr 2026 05:52:31.942 * <search> Register write commands,info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.189605404Z
1:M 20 Apr 2026 05:52:31.942 * <search> Subscribe to config changes,info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.189611452Z
1:M 20 Apr 2026 05:52:31.938 * <bf> 	{ cf-expansion-factor :         1 },info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.189614123Z
1:M 20 Apr 2026 05:52:31.938 * <bf> 	{ cf-max-expansions   :        32 },info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.189624193Z
1:M 20 Apr 2026 05:52:31.938 * Module 'bf' loaded from /usr/local/lib/redis/modules//redisbloom.so,info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.189629800Z
1:M 20 Apr 2026 05:52:31.938 * <bf> ],info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.189634719Z
1:M 20 Apr 2026 05:52:31.941 * <search> Redis version found by RedisSearch : 8.2.1 - oss,info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.189644485Z
1:M 20 Apr 2026 05:52:31.941 * <search> RediSearch version 8.2.1 (Git=dba8dd0),info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.189653748Z
1:M 20 Apr 2026 05:52:31.942 * Module 'search' loaded from /usr/local/lib/redis/modules//redisearch.so,info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.189663691Z
1:M 20 Apr 2026 05:52:31.942 * <search> Low level api version 1 initialized successfully,info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.189667797Z
"1:M 20 Apr 2026 05:52:31.942 * <search> gc: ON, prefix min length: 2, min word length to stem: 4, prefix max expansions: 200, query timeout (ms): 500, timeout policy: return, cursor read size: 1000, cursor max idle (ms): 300000, max doctable size: 1000000, max number of search results:  1000000, ",info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.189676661Z
"1:M 20 Apr 2026 05:52:31.943 * <timeseries> RedisTimeSeries version 80200, git_sha=1439d4a439ca9c063e6ef124a510abff09a5d493",info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.196350798Z
1:M 20 Apr 2026 05:52:31.943 * <timeseries> Redis version found by RedisTimeSeries : 8.2.1 - oss,info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.196354520Z
1:M 20 Apr 2026 05:52:31.943 * <timeseries> Registering configuration options: [,info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.196358466Z
1:M 20 Apr 2026 05:52:31.943 * <timeseries> 	{ ts-compaction-policy   :              },info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.196362669Z
1:M 20 Apr 2026 05:52:31.943 * <timeseries> 	{ ts-num-threads         :            3 },info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.196367973Z
1:M 20 Apr 2026 05:52:31.943 * <timeseries> 	{ ts-retention-policy    :            0 },info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.196371999Z
1:M 20 Apr 2026 05:52:31.943 * <timeseries> 	{ ts-duplicate-policy    :        block },info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.196375800Z
1:M 20 Apr 2026 05:52:31.943 * <timeseries> 	{ ts-chunk-size-bytes    :         4096 },info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.196379684Z
1:M 20 Apr 2026 05:52:31.943 * <timeseries> 	{ ts-encoding            :   compressed },info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.196383578Z
1:M 20 Apr 2026 05:52:31.943 * <timeseries> 	{ ts-ignore-max-time-diff:            0 },info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.196387714Z
1:M 20 Apr 2026 05:52:31.943 * <timeseries> 	{ ts-ignore-max-val-diff :     0.000000 },info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.196391957Z
1:M 20 Apr 2026 05:52:31.943 * <timeseries> ],info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.196395843Z
1:M 20 Apr 2026 05:52:31.943 * <timeseries> Detected redis oss,info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.196399789Z
1:M 20 Apr 2026 05:52:31.943 * <timeseries> Enabled diskless replication,info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.196404122Z
1:M 20 Apr 2026 05:52:31.943 * Module 'timeseries' loaded from /usr/local/lib/redis/modules//redistimeseries.so,info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.196408370Z
1:M 20 Apr 2026 05:52:31.944 * <ReJSON> Created new data type 'ReJSON-RL',info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.196445106Z
1:M 20 Apr 2026 05:52:31.945 * <ReJSON> version: 80200 git sha: unknown branch: unknown,info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.196454468Z
1:M 20 Apr 2026 05:52:31.945 * <ReJSON> Exported RedisJSON_V1 API,info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.196459212Z
1:M 20 Apr 2026 05:52:31.945 * <ReJSON> Exported RedisJSON_V2 API,info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.196463913Z
1:M 20 Apr 2026 05:52:31.945 * <ReJSON> Exported RedisJSON_V3 API,info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.196468715Z
1:M 20 Apr 2026 05:52:31.945 * <ReJSON> Exported RedisJSON_V4 API,info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.196473913Z
1:M 20 Apr 2026 05:52:31.945 * <ReJSON> Exported RedisJSON_V5 API,info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.196478574Z
1:M 20 Apr 2026 05:52:31.945 * <ReJSON> Enabled diskless replication,info,"{""level"":""info""}","{""project"":""0e889de5-9995-48a4-96c8-5e4baabf33d1"",""environment"":""86563c5a-1c1a-439b-adf7-3ffb19e44a08"",""service"":""dd41b2e6-3025-4039-bbb7-b78b1450b3ff"",""deployment"":""263a9ca2-7898-415b-b6f1-130fc93a3717"",""replica"":""f207aaaa-ad88-483c-94bf-dcfdd68d295b""}",2026-04-20T05:52:32.196482771Z
