Date,Chat Name,Creator,Exchanges,Symbol,Status,Leverage,Direction,Last Target,Duration,Signal Gained Profit %,Entry Targets % Filled,Number of Filled Entry Targets,Filled Average Entry Price,Number of Entry Targets,Entry Zone Range,Average Entry Price,TP1 Price,TP2 Price,TP3 Price,TP4 Price,TP5 Price,TP6 Price,TP7 Price,TP8 Price,TP9 Price,TP10 Price,Stop Loss Price
2026-04-05 22:04:48,SignalTactics,,Binance Futures,ETH/USDT,Stopped Out,Cross (10.0X),Long,0,6 min,-6.1148,100.0,1,2065.47,1,2066.27-2066.27,2066.27,,,,,,,,,,,2052.84
2026-04-05 22:01:22,SignalTactics,,Binance Futures,BTC/USDT,All Targets Achieved,Cross (10.0X),Long,3,11 hr 13 min,20.6665,100.0,1,67531.2,1,67531.2-67531.2,67531.2,68274.0,68881.8,69624.7,,,,,,,,
2026-04-05 21:59:35,SignalTactics,,Binance Futures,ADA/USDT,Stopped Out,Cross (10.0X),Long,0,25 min,-6.5466,100.0,1,0.2444,1,0.2444-0.2444,0.2444,,,,,,,,,,,0.2428
2026-04-05 21:57:39,SignalTactics,,Binance Futures,WLD/USDT,Stopped Out,Cross (10.0X),Short,0,52 min,-11.5942,100.0,1,0.2415,1,0.2415-0.2415,0.2415,,,,,,,,,,,0.2443
2026-04-05 21:55:22,SignalTactics,,Binance Futures,BTC/USDT,All Targets Achieved,Cross (10.0X),Long,3,11 hr 19 min,20.667,100.0,1,67615.2,1,67615.2-67615.2,67615.2,68359.0,68967.5,69711.3,,,,,,,,
2026-04-05 21:53:32,SignalTactics,,Binance Futures,ADA/USDT,Stopped Out,Cross (10.0X),Long,0,31 min,-6.5466,100.0,1,0.2444,1,0.2444-0.2444,0.2444,,,,,,,,,,,0.2428
2026-04-05 21:43:38,SignalTactics,,Binance Futures,NEAR/USDT,Stopped Out,Cross (10.0X),Short,0,18 min,-6.5306,100.0,1,1.225,1,1.225-1.225,1.225,,,,,,,,,,,1.233
2026-04-05 21:41:54,SignalTactics,,Binance Futures,BCH/USDT,Stopped Out,Cross (10.0X),Short,0,1 hr 17 min,-6.5047,100.0,1,422.77,1,422.77-422.77,422.77,,,,,,,,,,,425.52
2026-04-05 21:27:41,SignalTactics,,Binance Futures,RLS/USDT,Stopped Out,Cross (10.0X),Long,0,34 min,-29.2109,100.0,1,0.005272,1,0.005276-0.005276,0.005276,,,,,,,,,,,0.005118
2026-04-05 21:20:38,SignalTactics,,Binance Futures,MMT/USDT,Stopped Out,Cross (10.0X),Long,0,2 hr 47 min,-16.1858,100.0,1,0.1421,1,0.1441-0.1441,0.1441,,,,,,,,,,,0.1398
2026-04-05 21:04:43,SignalTactics,,Binance Futures,NEAR/USDT,Stopped Out,Cross (10.0X),Short,0,1 hr 39 min,-5.6911,100.0,1,1.23,1,1.229-1.229,1.229,,,,,,,,,,,1.237
2026-04-05 20:55:35,SignalTactics,,Binance Futures,XRP/USDT,All Targets Achieved,Cross (10.0X),Long,3,5 hr 16 min,20.6623,100.0,1,1.3035,1,1.3035-1.3035,1.3035,1.3178,1.3296,1.3439,,,,,,,,
2026-04-05 20:54:01,SignalTactics,,Binance Futures,BTC/USDT,All Targets Achieved,Cross (10.0X),Long,3,12 hr 20 min,20.8466,100.0,1,67590.6,1,67602.5-67602.5,67602.5,68346.1,68954.6,69698.2,,,,,,,,
2026-04-05 20:52:07,SignalTactics,,Binance Futures,SOL/USDT,Stopped Out,Cross (10.0X),Long,0,35 min,-6.4919,100.0,1,80.1,1,80.1-80.1,80.1,,,,,,,,,,,79.58
2026-04-05 20:44:32,SignalTactics,,Binance Futures,NEAR/USDT,Stopped Out,Cross (10.0X),Short,0,1 hr 59 min,-5.6818,100.0,1,1.232,1,1.231-1.231,1.231,,,,,,,,,,,1.239
2026-04-05 20:42:24,SignalTactics,,Binance Futures,WLD/USDT,Partial Targets Achieved,Cross (10.0X),Short,1,2 hr 32 min,-1.0974,100.0,1,0.243,1,0.243-0.243,0.243,0.2386,,,,,,,,,,0.2456
2026-04-05 20:40:45,SignalTactics,,Binance Futures,BTC/USDT,All Targets Achieved,Cross (10.0X),Long,3,12 hr 33 min,20.8431,100.0,1,67625.8,1,67637.5-67637.5,67637.5,68381.5,68990.2,69734.3,,,,,,,,
2026-04-05 20:38:56,SignalTactics,,Binance Futures,SOL/USDT,Stopped Out,Cross (10.0X),Long,0,48 min,-5.9948,100.0,1,80.07,1,80.11-80.11,80.11,,,,,,,,,,,79.59
2026-04-05 20:27:38,SignalTactics,,Binance Futures,WLD/USDT,Partial Targets Achieved,Cross (10.0X),Short,1,2 hr 47 min,-1.0951,100.0,1,0.2435,1,0.2435-0.2435,0.2435,0.2391,,,,,,,,,,0.2461
2026-04-05 20:14:57,SignalTactics,,Binance Futures,WLD/USDT,Stopped Out,Cross (10.0X),Short,0,2 hr 59 min,-10.704,100.0,1,0.2429,1,0.2429-0.2429,0.2429,,,,,,,,,,,0.2455
2026-04-05 20:03:48,SignalTactics,,Binance Futures,NOM/USDT,Stopped Out,Cross (10.0X),Short,0,17 min,-29.9219,100.0,1,0.005247,1,0.005247-0.005247,0.005247,,,,,,,,,,,0.005404
2026-04-05 19:41:31,SignalTactics,,Binance Futures,SOLV/USDT,Stopped Out,Cross (10.0X),Short,0,3 hr 9 min,-28.9753,100.0,1,0.004245,1,0.004241-0.004241,0.004241,,,,,,,,,,,0.004368
2026-04-05 19:32:21,SignalTactics,,Binance Futures,WLD/USDT,Partial Targets Achieved,Cross (10.0X),Short,2,3 hr 43 min,10.8799,100.0,1,0.2451,1,0.2451-0.2451,0.2451,0.2415,0.2386,,,,,,,,,0.2472
2026-04-05 19:28:45,SignalTactics,,Binance Futures,SOL/USDT,Stopped Out,Cross (10.0X),Long,0,21 min,-6.4984,100.0,1,80.02,1,80.02-80.02,80.02,,,,,,,,,,,79.5
2026-04-05 19:27:00,SignalTactics,,Binance Futures,ADA/USDT,Stopped Out,Cross (10.0X),Long,0,1 hr 46 min,-6.1475,100.0,1,0.244,1,0.2441-0.2441,0.2441,,,,,,,,,,,0.2425
2026-04-05 19:25:24,SignalTactics,,Binance Futures,BTC/USDT,All Targets Achieved,Cross (10.0X),Long,3,13 hr 49 min,20.7289,100.0,1,67501.7,1,67505.8-67505.8,67505.8,68248.4,68855.9,69598.5,,,,,,,,
2026-04-05 19:23:14,SignalTactics,,Binance Futures,XRP/USDT,Stopped Out,Cross (10.0X),Long,0,3 hr 3 min,-6.5144,100.0,1,1.3048,1,1.3048-1.3048,1.3048,,,,,,,,,,,1.2963
2026-04-05 19:12:11,SignalTactics,,Binance Futures,NOM/USDT,Stopped Out,Cross (10.0X),Short,0,1 hr 35 min,-29.9717,100.0,1,0.005305,1,0.005305-0.005305,0.005305,,,,,,,,,,,0.005464
2026-04-05 18:56:17,SignalTactics,,Binance Futures,NEAR/USDT,Stopped Out,Cross (10.0X),Short,0,3 hr 48 min,-6.4988,100.0,1,1.231,1,1.23-1.23,1.23,,,,,,,,,,,1.239
2026-04-05 18:44:39,SignalTactics,,Binance Futures,NEAR/USDT,Stopped Out,Cross (10.0X),Short,0,4 hr 14 min,-7.2934,100.0,1,1.234,1,1.234-1.234,1.234,,,,,,,,,,,1.243
2026-04-05 18:42:55,SignalTactics,,Binance Futures,PIPPIN/USDT,Stopped Out,Cross (10.0X),Long,0,40 min,-30.0192,100.0,1,0.04697,1,0.04697-0.04697,0.04697,,,,,,,,,,,0.04556
2026-04-05 18:41:21,SignalTactics,,Binance Futures,SOL/USDT,Stopped Out,Cross (10.0X),Long,0,3 hr 2 min,-6.5016,100.0,1,79.98,1,79.98-79.98,79.98,,,,,,,,,,,79.46
2026-04-05 18:30:35,SignalTactics,,Binance Futures,NEAR/USDT,Stopped Out,Cross (10.0X),Short,0,4 hr 13 min,-6.4988,100.0,1,1.231,1,1.23-1.23,1.23,,,,,,,,,,,1.239
2026-04-05 18:24:56,SignalTactics,,Binance Futures,NEAR/USDT,Stopped Out,Cross (10.0X),Short,0,4 hr 19 min,-7.3171,100.0,1,1.23,1,1.23-1.23,1.23,,,,,,,,,,,1.239
2026-04-05 18:19:39,SignalTactics,,Binance Futures,NEAR/USDT,Stopped Out,Cross (10.0X),Short,0,4 hr 24 min,-6.4988,100.0,1,1.231,1,1.23-1.23,1.23,,,,,,,,,,,1.239
2026-04-05 18:13:24,SignalTactics,,Binance Futures,NEAR/USDT,Partial Targets Achieved,Cross (10.0X),Short,1,5 hr 2 min,-0.8078,100.0,1,1.238,1,1.238-1.238,1.238,1.223,,,,,,,,,,1.247
2026-04-05 17:56:57,SignalTactics,,Binance Futures,ETH/USDT,All Targets Achieved,Cross (10.0X),Long,3,6 hr 7 min,20.6663,100.0,1,2060.36,1,2060.36-2060.36,2060.36,2083.02,2101.57,2124.23,,,,,,,,
2026-04-05 17:55:13,SignalTactics,,Binance Futures,NOM/USDT,Stopped Out,Cross (10.0X),Short,0,1 hr 14 min,-29.4854,100.0,1,0.005189,1,0.005186-0.005186,0.005186,,,,,,,,,,,0.005342
2026-04-05 17:51:45,SignalTactics,,Binance Futures,ETH/USDT,All Targets Achieved,Cross (10.0X),Long,3,5 hr 40 min,20.6772,100.0,1,2058.79,1,2058.81-2058.81,2058.81,2081.46,2099.99,2122.63,,,,,,,,
2026-04-05 17:28:16,SignalTactics,,Binance Futures,NOM/USDT,Stopped Out,Cross (10.0X),Short,0,2 hr 53 min,-28.8774,100.0,1,0.005229,1,0.005223-0.005223,0.005223,,,,,,,,,,,0.00538
2026-04-05 16:27:01,SignalTactics,,Binance Futures,BCH/USDT,Stopped Out,Cross (10.0X),Short,0,35 min,-6.4941,100.0,1,423.46,1,423.46-423.46,423.46,,,,,,,,,,,426.21
2026-04-05 16:14:32,SignalTactics,,Binance Futures,BCH/USDT,Stopped Out,Cross (10.0X),Short,0,27 min,-6.5049,100.0,1,422.76,1,422.76-422.76,422.76,,,,,,,,,,,425.51
2026-04-05 16:12:54,SignalTactics,,Binance Futures,ADA/USDT,All Targets Achieved,Cross (10.0X),Long,3,7 hr 47 min,22.1766,100.0,1,0.2435,1,0.2435-0.2435,0.2435,0.2464,0.2487,0.2516,,,,,,,,
2026-04-05 16:10:57,SignalTactics,,Binance Futures,NOM/USDT,All Targets Achieved,Cross (10.0X),Short,3,21 hr 51 min,100.492,100.0,1,0.00542,1,0.005417-0.005417,0.005417,0.005133,0.004889,0.004604,,,,,,,,
2026-04-05 16:07:14,SignalTactics,,Binance Futures,ADA/USDT,All Targets Achieved,Cross (10.0X),Long,3,7 hr 53 min,21.7838,100.0,1,0.2433,1,0.2433-0.2433,0.2433,0.2461,0.2484,0.2513,,,,,,,,
2026-04-05 15:58:25,SignalTactics,,Binance Futures,BCH/USDT,Stopped Out,Cross (10.0X),Short,0,26 min,-6.249,100.0,1,420.87,1,420.77-420.77,420.77,,,,,,,,,,,423.5
2026-04-05 15:44:34,SignalTactics,,Binance Futures,SOL/USDT,Stopped Out,Cross (10.0X),Long,0,6 hr 36 min,-6.5187,100.0,1,79.77,1,79.77-79.77,79.77,,,,,,,,,,,79.25
2026-04-05 15:39:59,SignalTactics,,Binance Futures,ETH/USDT,All Targets Achieved,Cross (10.0X),Long,3,7 hr 52 min,21.0293,100.0,1,2055.54,1,2056.27-2056.27,2056.27,2078.89,2097.4,2120.01,,,,,,,,
2026-04-05 15:29:52,SignalTactics,,Binance Futures,BNB/USDT,All Targets Achieved,Cross (10.0X),Long,3,2 days 5 hr,20.6628,100.0,1,593.66,1,593.66-593.66,593.66,600.19,605.53,612.06,,,,,,,,
2026-04-05 15:28:18,SignalTactics,,Binance Futures,NEAR/USDT,Stopped Out,Cross (10.0X),Long,0,9 min,-7.9365,100.0,1,1.26,1,1.26-1.26,1.26,,,,,,,,,,,1.25
2026-04-05 15:25:57,SignalTactics,,Binance Futures,NOM/USDT,All Targets Achieved,Cross (10.0X),Short,3,20 hr 56 min,100.0546,100.0,1,0.005497,1,0.005497-0.005497,0.005497,0.005208,0.004961,0.004672,,,,,,,,
2026-04-05 15:14:00,SignalTactics,,Binance Futures,BERA/USDT,Stopped Out,Cross (10.0X),Short,0,9 hr 54 min,-17.4551,100.0,1,0.3953,1,0.3953-0.3953,0.3953,,,,,,,,,,,0.4022
2026-04-05 15:11:42,SignalTactics,,Binance Futures,ETC/USDT,All Targets Achieved,Cross (10.0X),Long,3,8 hr 3 min,20.772,100.0,1,8.489,1,8.49-8.49,8.49,8.583,8.66,8.753,,,,,,,,
2026-04-05 15:09:09,SignalTactics,,Binance Futures,BCH/USDT,Stopped Out,Cross (10.0X),Short,0,17 min,-5.9792,100.0,1,421.46,1,421.24-421.24,421.24,,,,,,,,,,,423.98
2026-04-05 15:06:09,SignalTactics,,Binance Futures,NOM/USDT,Stopped Out,Cross (10.0X),Short,0,19 min,-28.6468,100.0,1,0.005306,1,0.005299-0.005299,0.005299,,,,,,,,,,,0.005458
2026-04-05 14:55:27,SignalTactics,,Binance Futures,NOM/USDT,Stopped Out,Cross (10.0X),Short,0,30 min,-27.881,100.0,1,0.00538,1,0.005369-0.005369,0.005369,,,,,,,,,,,0.00553
2026-04-05 14:44:18,SignalTactics,,Binance Futures,NOM/USDT,All Targets Achieved,Cross (10.0X),Short,3,22 hr 7 min,102.7742,100.0,1,0.005491,1,0.005474-0.005474,0.005474,0.005187,0.00494,0.004653,,,,,,,,
2026-04-05 14:39:44,SignalTactics,,Binance Futures,BCH/USDT,Stopped Out,Cross (10.0X),Short,0,2 hr 24 min,-6.5015,100.0,1,424.52,1,424.52-424.52,424.52,,,,,,,,,,,427.28
2026-04-05 14:23:36,SignalTactics,,Binance Futures,NOM/USDT,All Targets Achieved,Cross (10.0X),Short,3,21 hr 58 min,100.2415,100.0,1,0.00552,1,0.005518-0.005518,0.005518,0.005228,0.004982,0.00469,,,,,,,,
2026-04-05 14:20:10,SignalTactics,,Binance Futures,BCH/USDT,Stopped Out,Cross (10.0X),Short,0,2 hr 44 min,-6.4996,100.0,1,424.64,1,424.64-424.64,424.64,,,,,,,,,,,427.4
2026-04-05 14:12:07,SignalTactics,,Binance Futures,BNB/USDT,Stopped Out,Cross (10.0X),Short,0,1 hr 15 min,-6.2705,100.0,1,590.06,1,589.93-589.93,589.93,,,,,,,,,,,593.76
2026-04-05 14:10:20,SignalTactics,,Binance Futures,BCH/USDT,Partial Targets Achieved,Cross (10.0X),Short,1,9 hr 23 min,-0.674,100.0,1,425.34,1,425.34-425.34,425.34,420.66,,,,,,,,,,428.11
2026-04-05 14:06:10,SignalTactics,,Binance Futures,BNB/USDT,Stopped Out,Cross (10.0X),Short,0,1 hr 21 min,-6.3756,100.0,1,589.75,1,589.68-589.68,589.68,,,,,,,,,,,593.51
2026-04-05 13:56:30,SignalTactics,,Binance Futures,XRP/USDT,Stopped Out,Cross (10.0X),Short,0,1 hr 30 min,-5.9797,100.0,1,1.2877,1,1.287-1.287,1.287,,,,,,,,,,,1.2954
2026-04-05 13:52:33,SignalTactics,,Binance Futures,ETH/USDT,Stopped Out,Cross (10.0X),Short,0,1 hr 33 min,-6.5012,100.0,1,2033.46,1,2033.46-2033.46,2033.46,,,,,,,,,,,2046.68
2026-04-05 13:45:08,SignalTactics,,Binance Futures,XAUT/USDT,Stopped Out,Cross (10.0X),Short,0,18 hr 6 min,-6.4305,100.0,1,4615.52,1,4615.2-4615.2,4615.2,,,,,,,,,,,4645.2
2026-04-05 13:40:03,SignalTactics,,Binance Futures,BNB/USDT,Stopped Out,Cross (10.0X),Short,0,1 hr 45 min,-6.1027,100.0,1,588.26,1,588.03-588.03,588.03,,,,,,,,,,,591.85
2026-04-05 13:36:02,SignalTactics,,Binance Futures,SOL/USDT,Stopped Out,Cross (10.0X),Short,0,25 min,-6.2206,100.0,1,78.77,1,78.75-78.75,78.75,,,,,,,,,,,79.26
2026-04-05 13:22:53,SignalTactics,,Binance Futures,BNB/USDT,Stopped Out,Cross (10.0X),Short,0,2 hr 4 min,-6.4162,100.0,1,589.13,1,589.08-589.08,589.08,,,,,,,,,,,592.91
2026-04-05 13:19:27,SignalTactics,,Binance Futures,WLD/USDT,Stopped Out,Cross (10.0X),Short,0,1 hr 24 min,-8.1433,100.0,1,0.2456,1,0.2456-0.2456,0.2456,,,,,,,,,,,0.2476
2026-04-05 13:10:00,SignalTactics,,Binance Futures,BNB/USDT,Stopped Out,Cross (10.0X),Short,0,2 hr 17 min,-6.4968,100.0,1,589.52,1,589.52-589.52,589.52,,,,,,,,,,,593.35
2026-04-05 13:06:50,SignalTactics,,Binance Futures,BCH/USDT,Partial Targets Achieved,Cross (10.0X),Short,1,10 hr 27 min,-0.6265,100.0,1,425.67,1,425.65-425.65,425.65,420.97,,,,,,,,,,428.42
2026-04-05 13:03:18,SignalTactics,,Binance Futures,XAUT/USDT,Stopped Out,Cross (10.0X),Short,0,16 hr 7 min,-6.4979,100.0,1,4610.7,1,4610.69-4610.69,4610.69,,,,,,,,,,,4640.66
2026-04-05 12:56:18,SignalTactics,,Binance Futures,NOM/USDT,All Targets Achieved,Cross (10.0X),Short,3,22 hr 25 min,93.6877,100.0,1,0.005682,1,0.005677-0.005677,0.005677,0.005396,0.005167,0.004886,,,,,,,,
2026-04-05 12:52:00,SignalTactics,,Binance Futures,SOL/USDT,Stopped Out,Cross (10.0X),Short,0,1 hr 11 min,-6.2135,100.0,1,78.86,1,78.84-78.84,78.84,,,,,,,,,,,79.35
2026-04-05 12:45:05,SignalTactics,,Binance Futures,ONG/USDT,Stopped Out,Cross (10.0X),Short,0,3 hr 24 min,-26.3041,100.0,1,0.0901,1,0.09003-0.09003,0.09003,,,,,,,,,,,0.09247
2026-04-05 12:39:49,SignalTactics,,Binance Futures,ADA/USDT,Stopped Out,Cross (10.0X),Short,0,2 hr 47 min,-6.6335,100.0,1,0.2412,1,0.2412-0.2412,0.2412,,,,,,,,,,,0.2428
2026-04-05 12:30:01,SignalTactics,,Binance Futures,ONG/USDT,Partial Targets Achieved,Cross (10.0X),Short,1,15 hr 10 min,-2.6275,100.0,1,0.09134,1,0.09134-0.09134,0.09134,0.08734,,,,,,,,,,0.0937
2026-04-05 12:21:56,SignalTactics,,Binance Futures,XAUT/USDT,Stopped Out,Cross (10.0X),Short,0,13 hr 59 min,-6.4976,100.0,1,4607.85,1,4607.84-4607.84,4607.84,,,,,,,,,,,4637.79
2026-04-05 12:14:52,SignalTactics,,Binance Futures,ETH/USDT,Stopped Out,Cross (10.0X),Short,0,3 hr 12 min,-6.5023,100.0,1,2037.75,1,2037.75-2037.75,2037.75,,,,,,,,,,,2051.0
2026-04-05 12:09:37,SignalTactics,,Binance Futures,BERA/USDT,Stopped Out,Cross (10.0X),Long,0,19 min,-12.8922,100.0,1,0.4111,1,0.4117-0.4117,0.4117,,,,,,,,,,,0.4058
2026-04-05 12:05:31,SignalTactics,,Binance Futures,NOM/USDT,All Targets Achieved,Cross (10.0X),Short,3,5 hr 20 min,84.8951,100.0,1,0.005976,1,0.005954-0.005954,0.005954,0.005696,0.005484,0.005226,,,,,,,,
2026-04-05 12:02:50,SignalTactics,,Binance Futures,BERA/USDT,Stopped Out,Cross (10.0X),Long,0,15 min,-13.0183,100.0,1,0.4148,1,0.415-0.415,0.415,,,,,,,,,,,0.4094
2026-04-05 11:55:32,SignalTactics,,Binance Futures,BERA/USDT,Stopped Out,Cross (10.0X),Long,0,22 min,-12.7649,100.0,1,0.4152,1,0.4152-0.4152,0.4152,,,,,,,,,,,0.4099
2026-04-05 11:51:50,SignalTactics,,Binance Futures,BCH/USDT,Partial Targets Achieved,Cross (10.0X),Short,2,17 hr 47 min,8.1948,100.0,1,432.39,1,432.38-432.38,432.38,427.62,423.73,,,,,,,,,435.19
2026-04-05 11:44:58,SignalTactics,,Binance Futures,BCH/USDT,Partial Targets Achieved,Cross (10.0X),Short,2,17 hr 54 min,8.2838,100.0,1,432.57,1,432.52-432.52,432.52,427.76,423.87,,,,,,,,,435.33
2026-04-05 11:39:31,SignalTactics,,Binance Futures,BCH/USDT,Partial Targets Achieved,Cross (10.0X),Short,2,18 hr 19 min,8.3526,100.0,1,433.0,1,432.92-432.92,432.92,428.16,424.26,,,,,,,,,435.73
2026-04-05 11:29:44,SignalTactics,,Binance Futures,CTSI/USDT,All Targets Achieved,Cross (10.0X),Short,3,1 day 11 hr,93.7224,100.0,1,0.0377,1,0.0377-0.0377,0.0377,0.0358,0.0343,0.0324,,,,,,,,
2026-04-05 11:21:03,SignalTactics,,Binance Futures,CTSI/USDT,All Targets Achieved,Cross (10.0X),Short,3,1 day 11 hr,94.1073,100.0,1,0.0379,1,0.0378-0.0378,0.0378,0.036,0.0344,0.0326,,,,,,,,
2026-04-05 11:14:32,SignalTactics,,Binance Futures,CTSI/USDT,All Targets Achieved,Cross (10.0X),Short,3,1 day 11 hr,94.9868,100.0,1,0.0379,1,0.0378-0.0378,0.0378,0.0359,0.0344,0.0326,,,,,,,,
2026-04-05 11:09:22,SignalTactics,,Binance Futures,CTSI/USDT,Cancelled,Cross (10.0X),Short,0,1 hr 7 min,0.0,0,0,,1,0.0382-0.0382,0.0382,,,,,,,,,,,
2026-04-05 11:05:13,SignalTactics,,Binance Futures,BNB/USDT,Stopped Out,Cross (10.0X),Long,0,1 hr 37 min,-6.4958,100.0,1,594.23,1,594.23-594.23,594.23,,,,,,,,,,,590.37
2026-04-05 11:00:39,SignalTactics,,Binance Futures,ADA/USDT,Stopped Out,Cross (10.0X),Short,0,21 min,-6.6528,100.0,1,0.2405,1,0.2405-0.2405,0.2405,,,,,,,,,,,0.2421
2026-04-05 10:55:15,SignalTactics,,Binance Futures,ADA/USDT,Stopped Out,Cross (10.0X),Short,0,4 hr 31 min,-6.2189,100.0,1,0.2412,1,0.2411-0.2411,0.2411,,,,,,,,,,,0.2427
2026-04-05 10:44:43,SignalTactics,,Binance Futures,BNB/USDT,Stopped Out,Cross (10.0X),Long,0,1 hr 50 min,-6.4424,100.0,1,594.5,1,594.54-594.54,594.54,,,,,,,,,,,590.67
2026-04-05 10:41:09,SignalTactics,,Binance Futures,BTC/USDT,All Targets Achieved,Cross (10.0X),Long,3,13 hr 19 min,20.8734,100.0,1,67061.4,1,67075.0-67075.0,67075.0,67812.8,68416.5,69154.3,,,,,,,,
